Timestamp,Gender,Age,Country where you grew up,I find it relatively easy to get close to others.,I’m not very comfortable having to depend on other people.,I’m comfortable having others depend on me.,I rarely worry about being abandoned by others.,I don’t like people getting too close to me.,I’m somewhat uncomfortable being too close to others.,I find it difficult to trust others completely.,I’m nervous whenever anyone gets too close to me.,Others often want me to be more intimate than I feel comfortable being.,Others often are reluctant to get as close as I would like.,I often worry that my partner(s) don’t really love me.,I rarely worry about my partner(s) leaving me.,"I often want to merge completely with others, and this desire sometimes scares them away.",I’m confident others would never hurt me by suddenly ending our relationship.,I usually want more closeness and intimacy than others do.,The thought of being left by others rarely enters my mind.,I’m confident that my partner(s) love me just as much as I love them.,Listening to music really affects my mood,I am not very nostalgic when I listen to old songs I used to listen to,Whenever I want to feel happy I listen to a happy song,When I listen to sad songs I feel very emotional,Almost every memory I have is associated with a particular song,I often enjoy analysing complex musical compositions,I seldom like a song unless I admire the technique of the musicians,I don’t enjoy listening to pop music because it’s very primitive,"Rather than relaxing, when I listen to music I like to concentrate on it",Listening to music is an intellectual experience for me,I enjoy listening to music while I work,Music is very distracting so whenever I study I need to have silence,"If I don’t listen to music while I’m doing something, I often get bored",I enjoy listening to music in social events,I often feel very lonely if I don’t listen to music
10/30/2016 19:31:43,Male,40,France,4,3,3,4,3,1,4,1,1,1,1,4,1,3,1,3,4,3,3,4,1,1,1,1,1,1,1,1,1,2,2,1
10/30/2016 21:16:32,Female,22,Italy,5,6,4,2,4,2,3,2,4,2,6,2,3,2,2,2,2,5,2,4,5,4,2,2,1,2,2,5,2,4,5,2
10/30/2016 21:21:31,Female,23,Italy,5,7,2,3,6,6,3,5,6,2,1,7,3,5,2,6,4,2,2,1,3,1,1,1,1,4,4,1,5,1,1,1
10/30/2016 22:29:16,Female,26,Italy,5,6,4,5,3,2,2,2,2,2,3,5,2,5,2,5,5,3,2,4,4,5,1,1,1,1,2,4,2,1,4,1
10/30/2016 23:09:41,Female,21,Italy,5,7,4,7,1,1,5,3,3,3,7,1,3,1,7,1,1,5,1,5,5,5,4,3,1,1,1,4,3,4,5,4
10/30/2016 23:11:54,Male,37,Italy,1,7,1,2,2,2,2,2,1,5,1,3,5,1,4,3,7,4,4,5,3,1,5,2,4,3,3,5,5,3,5,5
10/30/2016 23:29:20,Female,29,Italy,5,4,3,4,1,1,1,1,1,2,1,1,2,3,2,4,4,4,4,3,3,3,2,2,2,2,2,5,3,4,4,2
10/30/2016 23:35:16,Female,42,Belgium,2,4,4,2,3,3,3,3,3,2,3,2,1,2,1,2,3,4,1,4,3,4,4,2,2,4,4,4,2,3,4,4
10/30/2016 23:38:37,Female,36,Romania,5,3,5,2,5,5,4,2,2,2,1,7,2,6,2,6,6,4,3,3,2,3,3,2,2,5,5,1,5,2,3,2
10/30/2016 23:45:44,Male,31,Germany,6,3,3,4,2,2,2,2,2,5,1,5,5,4,4,6,7,5,2,5,4,4,1,1,1,2,4,5,1,5,3,3
10/31/2016 2:25:48,Female,22,Italy,4,7,4,2,5,5,5,2,5,2,2,2,5,4,2,5,4,5,3,4,3,4,1,2,3,3,3,3,2,2,4,1
10/31/2016 5:28:13,Female,63,Belgium,7,5,6,7,1,3,2,4,4,2,2,6,4,4,2,7,4,5,3,4,3,3,2,3,3,1,3,4,1,3,4,3
10/31/2016 7:28:24,Female,23,Italy,2,5,3,2,2,3,4,3,3,3,2,3,1,2,2,1,2,2,3,3,3,1,1,2,1,1,2,3,3,2,4,2
10/31/2016 7:42:22,Female,31,Italy,3,5,4,1,2,2,2,2,2,2,1,1,2,6,1,7,7,3,4,4,4,2,2,2,1,2,2,3,4,4,5,2
10/31/2016 8:11:10,Male,20,United Kingdom,1,3,3,1,7,7,7,7,7,7,7,1,7,1,7,1,1,5,1,3,5,4,2,1,1,5,2,5,3,5,3,3
10/31/2016 8:21:58,Male,25,United Kingdom,5,6,5,7,5,3,6,4,5,2,2,7,3,5,4,6,6,5,5,5,4,3,1,1,3,3,4,3,3,2,5,2
10/31/2016 8:22:09,Male,60,Italy,5,5,5,2,3,4,7,3,4,5,2,2,3,1,6,1,7,5,1,4,4,1,4,1,4,5,5,1,5,3,5,4
10/31/2016 8:38:37,Male,22,Italy,6,4,6,6,2,3,2,2,3,3,4,4,3,2,4,5,4,5,2,5,5,4,4,3,2,3,3,3,5,2,5,2
10/31/2016 8:41:13,Female,25,Italy,3,6,3,3,2,3,4,2,3,4,5,3,2,3,2,6,5,4,2,5,3,3,1,4,2,2,2,5,2,2,3,1
10/31/2016 8:44:47,Female,24,Italy,4,6,3,4,2,2,4,2,3,4,1,7,1,6,2,7,4,4,5,2,4,3,1,2,2,4,3,3,4,1,5,1
10/31/2016 8:48:09,Female,26,Croatia,3,7,5,4,6,7,7,6,7,3,4,6,2,3,2,3,4,5,5,5,5,4,4,2,2,3,3,5,5,4,5,5
10/31/2016 8:51:56,Male,27,Italy,4,5,4,1,3,3,3,2,1,2,3,3,3,2,3,2,4,4,2,4,4,1,1,2,1,3,3,3,2,1,5,2
10/31/2016 8:54:39,Female,24,Italy,5,6,3,3,1,2,5,2,3,3,2,6,1,5,2,5,5,5,1,3,4,3,2,1,1,1,2,5,2,1,4,2
10/31/2016 8:59:14,Female,29,Italy,1,3,3,4,3,3,3,3,4,2,4,4,2,1,1,1,2,2,2,2,3,2,1,2,2,1,2,3,1,3,3,1
10/31/2016 9:05:57,Female,23,Italy,4,2,6,2,2,2,5,1,1,1,1,7,1,7,2,6,7,4,1,5,2,1,1,1,1,1,1,5,3,2,5,1
10/31/2016 9:07:09,Male,30,Germany,6,3,4,7,1,2,1,3,2,2,1,5,1,6,4,3,7,4,3,3,3,1,1,1,4,2,2,2,4,2,5,2
10/31/2016 9:07:46,Female,23,Italy,4,5,3,5,3,4,7,4,3,3,3,3,2,5,3,3,6,2,3,2,2,2,2,2,1,2,2,4,3,3,4,3
10/31/2016 9:17:49,Male,25,Italy,5,5,3,6,3,3,4,3,3,3,3,6,2,4,2,6,5,5,1,1,4,2,4,1,2,5,5,2,4,2,4,2
10/31/2016 9:26:05,Female,23,Italy,2,7,5,7,5,5,7,3,6,2,7,2,3,4,6,1,2,5,1,1,5,5,2,4,2,5,5,5,1,5,5,5
10/31/2016 9:31:48,Male,20,Italy,5,5,3,3,5,4,2,2,2,6,2,2,4,5,6,6,4,5,1,3,5,2,3,2,2,3,3,5,1,1,5,3
10/31/2016 9:31:49,Female,23,Italy,4,2,4,3,1,1,1,1,4,1,1,4,1,3,1,1,4,3,1,3,5,5,1,1,1,1,1,1,5,4,1,2
10/31/2016 9:36:58,Not Listed,22,Italy,2,3,2,1,5,6,7,3,4,4,6,2,3,2,4,2,3,4,1,3,4,3,1,2,2,2,2,4,2,3,4,4
10/31/2016 9:44:08,Male,23,Italy,3,5,4,4,3,4,3,2,2,6,3,6,4,5,5,3,6,5,2,4,4,3,4,1,1,5,5,3,4,4,5,4
10/31/2016 10:52:15,Male,24,Italy,5,3,6,7,4,6,4,4,7,4,4,4,4,5,4,2,4,5,3,5,5,3,1,3,1,1,3,3,5,3,5,3
10/31/2016 11:19:28,Male,30,Italy,4,6,6,5,4,4,2,3,3,3,5,2,2,5,3,3,5,4,2,4,4,2,4,2,2,3,3,5,3,4,5,4
10/31/2016 11:51:08,Male,23,Italy,5,5,4,4,6,6,5,5,4,4,2,2,4,4,2,4,6,3,4,4,4,3,2,2,1,3,3,5,5,1,3,2
10/31/2016 11:56:32,Male,26,Italy,3,4,2,2,3,1,1,2,3,1,1,2,2,3,2,2,3,4,1,3,4,4,3,3,2,3,3,5,4,3,5,4
10/31/2016 12:42:10,Male,28,United Kingdom,5,5,3,5,2,3,4,3,3,3,4,4,4,4,4,3,4,4,2,3,3,2,3,3,2,2,3,4,2,2,4,1
10/31/2016 12:48:10,Male,23,Italy,5,6,4,6,3,2,1,3,3,3,3,6,2,6,3,5,5,5,2,4,4,4,4,1,1,2,2,2,5,3,4,1
10/31/2016 13:14:08,Male,23,Italy,2,4,5,6,5,3,5,3,3,5,3,2,1,3,3,3,5,4,2,2,2,2,2,4,4,3,3,4,1,2,4,2
10/31/2016 13:28:31,Female,26,Saudi Arabia,3,7,4,4,4,2,3,3,1,2,1,1,1,1,1,1,2,2,5,5,3,3,1,1,1,3,1,2,2,1,4,1
10/31/2016 13:36:50,Female,37,United Kingdom,1,7,1,7,7,7,7,7,7,1,1,7,1,7,1,1,1,1,2,1,1,2,1,1,1,1,1,1,5,1,1,1
10/31/2016 13:52:51,Female,23,Zimbabwe,4,6,4,6,3,3,5,4,4,3,4,2,2,4,6,3,5,4,2,5,3,3,4,3,3,3,4,4,2,1,5,3
10/31/2016 13:55:53,Female,22,Italy,4,7,5,5,2,2,6,2,4,4,4,4,1,6,2,5,5,4,1,1,5,2,1,2,2,1,1,5,2,5,5,5
10/31/2016 14:06:49,Female,22,Italy,5,7,5,7,6,6,7,3,4,4,2,5,5,5,4,6,5,3,5,4,1,1,4,2,1,1,1,2,4,1,2,1
10/31/2016 14:09:33,Female,21,Italy,3,6,5,3,5,5,6,4,5,2,4,3,2,2,2,2,3,3,2,3,2,2,2,2,1,1,2,4,2,3,4,2
10/31/2016 14:11:18,Male,20,Italy,2,7,2,6,5,4,3,2,4,3,2,4,4,3,4,3,5,5,2,3,3,2,4,2,3,2,2,4,5,1,2,1
10/31/2016 14:48:57,Male,24,Italy,5,5,3,5,5,5,7,3,3,3,1,2,2,5,2,4,6,2,3,1,1,2,2,2,4,3,4,5,4,2,5,2
10/31/2016 14:55:27,Not Listed,666,Botswana,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10/31/2016 15:50:22,Male,30,Italy,2,6,3,5,5,5,5,5,2,1,1,1,1,4,1,2,7,5,4,2,3,2,2,2,1,1,1,5,2,4,4,3
10/31/2016 17:38:52,Female,23,Italy,4,4,5,2,5,5,5,4,4,2,3,2,4,2,2,2,4,4,2,4,4,4,5,4,5,3,4,5,2,1,3,2
10/31/2016 18:28:44,Female,32,France,1,6,7,2,4,4,7,4,2,6,6,7,1,1,1,4,1,4,5,4,4,4,1,1,3,3,1,2,5,1,5,1
10/31/2016 19:22:38,Female,23,Italy,3,4,4,2,2,2,4,3,3,3,2,3,2,2,3,3,4,5,2,3,5,3,3,2,4,4,5,4,3,2,5,5
10/31/2016 20:10:27,Female,23,Italy,3,3,3,1,1,1,1,1,2,2,4,1,2,2,2,1,1,3,3,3,3,2,1,3,1,2,2,4,1,4,4,4
10/31/2016 23:17:13,Male,25,Italy,6,7,1,6,5,5,6,3,3,1,1,7,1,7,1,7,7,5,1,5,5,5,1,1,1,3,1,5,1,5,5,1
11/1/2016 7:59:14,Female,19,Italy,3,4,3,4,1,2,2,2,2,3,3,3,3,3,2,4,3,1,2,3,4,2,4,4,3,4,4,3,3,4,5,4
11/1/2016 8:50:01,Male,22,Italy,4,6,4,5,4,2,5,2,2,4,4,3,4,2,5,4,4,2,5,5,2,1,5,2,2,2,4,5,1,1,4,1
11/1/2016 9:11:07,Female,24,Belgium,6,6,3,5,5,4,7,6,6,3,6,5,1,6,1,6,5,3,2,2,5,5,5,5,3,5,3,4,2,2,4,2
11/1/2016 11:19:59,Female,19,Italy,6,4,3,5,3,3,6,5,4,3,4,3,3,5,3,3,5,5,2,4,4,5,4,2,1,4,5,5,2,1,5,5
11/1/2016 11:27:18,Male,45,United Kingdom,3,4,4,6,3,4,3,5,5,3,2,6,1,3,3,2,5,5,1,4,5,2,1,1,1,4,1,4,3,4,4,3
11/1/2016 15:47:03,Male,22,United Kingdom,4,5,2,3,3,4,6,2,2,4,4,3,3,3,4,3,5,4,2,2,3,1,2,2,3,3,2,1,4,2,4,1
11/1/2016 17:30:07,Female,23,Italy,5,5,4,2,2,2,2,2,2,5,4,5,4,5,5,3,4,5,1,4,4,3,2,2,2,2,3,5,1,5,4,4
11/1/2016 23:41:33,Male,26,Italy,4,3,5,2,1,1,1,1,3,4,5,6,7,3,7,2,6,4,2,5,5,5,3,3,1,2,2,5,5,1,1,1
11/2/2016 1:39:40,Male,52,United Kingdom,6,6,7,5,2,2,2,1,1,2,5,5,1,7,2,3,7,4,1,3,2,1,5,1,1,4,5,4,1,1,5,1
11/2/2016 4:18:05,Female,23,Italy,2,6,5,5,7,5,7,4,2,1,1,1,1,2,1,1,2,3,3,3,2,4,4,3,1,3,3,4,1,4,4,4
11/2/2016 19:25:18,Male,52,United Kingdom,6,5,5,7,2,2,2,3,2,3,5,6,1,6,3,6,4,5,1,2,4,2,2,1,1,4,2,1,5,1,4,1
11/2/2016 20:04:45,Female,61,Italy,4,4,2,2,4,4,5,4,4,5,3,3,5,3,4,2,4,4,2,3,2,1,1,2,4,3,3,2,4,2,4,2
11/2/2016 20:24:31,Male,24,Italy,5,5,6,5,2,2,3,3,2,3,2,3,3,4,4,3,3,4,2,4,4,2,2,4,2,3,3,4,2,3,4,3